,state,act_participation_perc,act_composite_score,sat_participation_perc,sat_evidence_based_reading_score,sat_math_score,sat_total
0,Alabama,1.0,18.9,0.07,583,560,1143
1,Alaska,0.38,20.1,0.41,556,541,1097
2,Arizona,0.73,19.0,0.31,569,565,1134
3,Arkansas,1.0,19.3,0.06,582,559,1141
4,California,0.23,22.6,0.63,534,531,1065
5,Colorado,0.27,23.8,1.0,518,506,1024
6,Connecticut,0.22,25.5,1.0,529,516,1046
7,Delaware,0.13,24.1,1.0,499,486,985
8,District of Columbia,0.32,23.5,0.94,495,480,975
9,Florida,0.54,20.1,1.0,516,483,999
10,Georgia,0.49,21.4,0.71,538,519,1058
11,Hawaii,0.8,19.0,0.54,550,550,1100
12,Idaho,0.31,22.5,1.0,505,488,993
13,Illinois,0.35,24.3,1.0,509,504,1013
14,Indiana,0.29,22.5,0.66,543,537,1080
15,Iowa,0.66,21.6,0.03,622,622,1244
16,Kansas,0.72,21.2,0.04,618,623,1241
17,Kentucky,1.0,19.8,0.04,620,612,1232
18,Louisiana,1.0,18.8,0.05,610,591,1200
19,Maine,0.06,24.3,0.99,512,502,1013
20,Maryland,0.28,22.3,0.82,535,523,1058
21,Massachusetts,0.21,25.5,0.81,559,561,1120
22,Michigan,0.19,24.4,1.0,507,496,1003
23,Minnesota,0.95,21.4,0.04,636,648,1284
24,Mississippi,1.0,18.4,0.03,628,608,1237
25,Missouri,0.82,20.8,0.04,622,615,1236
26,Montana,1.0,19.8,0.09,603,596,1199
27,Nebraska,1.0,20.0,0.03,628,631,1260
28,Nevada,1.0,17.9,0.2,580,576,1156
29,New Hampshire,0.14,25.0,0.95,533,526,1059
30,New Jersey,0.25,24.2,0.82,544,545,1090
31,New Mexico,0.63,19.3,0.18,543,530,1073
32,New York,0.22,24.5,0.79,531,533,1064
33,North Carolina,1.0,19.0,0.51,554,546,1100
34,North Dakota,0.96,19.9,0.02,627,636,1263
35,Ohio,1.0,20.0,0.19,550,548,1097
36,Oklahoma,1.0,18.9,0.22,490,472,963
37,Oregon,0.42,21.1,0.51,562,550,1112
38,Pennsylvania,0.17,23.6,0.7,545,537,1082
39,Rhode Island,0.12,24.7,1.0,503,492,995
40,South Carolina,0.78,18.8,0.68,526,504,1030
41,South Dakota,0.75,21.6,0.03,633,635,1268
42,Tennessee,1.0,19.4,0.07,618,602,1220
43,Texas,0.39,20.5,0.68,515,507,1022
44,Utah,1.0,20.3,0.04,614,615,1230
45,Vermont,0.2,24.1,0.66,560,546,1106
46,Virginia,0.21,24.0,0.68,567,551,1119
47,Washington,0.24,22.1,0.7,539,535,1074
48,West Virginia,0.49,20.8,0.99,483,460,943
49,Wisconsin,1.0,20.3,0.03,635,648,1283
50,Wyoming,1.0,19.8,0.03,623,615,1238
